registro_id,timestamp_raw,equipo_id,turno,operador_nombre,temperatura_c,vibracion_mm_s,energia_kwh,produccion_t,estado_mantenimiento
EVT-000045,2026-09-01 22:00:00,REACTOR-A,C,Carla Méndez,69.65,3.218,634.01,37.50,SIN_ORDEN
EVT-000389,2026-09-04 02:00:00,REACTOR-B,C,Fernando López,74.96,3.601,697.24,"44,74 t",SIN_ORDEN
EVT-000578,2026-09-03 00:30:00,REACTOR-C,C,Irene Choque,"71,15 °C","3,793 mm/s",628.77,39.75,SIN_ORDEN
EVT-000605,2026-09-03T14:00:00-04:00,REACTOR-C,B,Hugo Vargas,"66,41 °C",4.245,616.55,36.51,SIN_ORDEN
EVT-000335,2026-09-02 23:00:00,REACTOR-B,C,Fernando López,71.93,4.081,661.89,40.78,SIN_ORDEN
EVT-000535,2026-09-02 03:00:00,REACTOR-C,C,Irene Choque,69.72,4.329,645.29,37.06,SIN_ORDEN
EVT-000266,2026-09-01 12:30:00,REACTOR-B,A,Diego Arce,69.88,"3,429 mm/s",640.98,38.86,SIN_ORDEN
EVT-000022,2026-09-01T10:30:00-04:00,REACTOR-A,A,Ana Rojas,70.48,"3,093 mm/s",660.25,41.80,SIN_ORDEN
EVT-000407,2026-09-04 11:00:00,REACTOR-B,A,Diego Arce,72.43,"3,360 mm/s",647.72,38.85,SIN_ORDEN
EVT-000166,2026-09-04 10:30:00,REACTOR-A,A,Ana Rojas,70.73,3.295,659.98,41.96,SIN_ORDEN
EVT-000108,2026-09-03 05:30:00,REACTOR-A,C,Carla Méndez,74.66,3.798,679.85,43.50,SIN_ORDEN
EVT-000009,01/09/2026 04:00,REACTOR-A,C,Carla Méndez,72.29,3.428,646.18,40.95,SIN_ORDEN
EVT-000632,2026-09-04 03:30:00,REACTOR-C,C,Irene Choque,"71,38 °C",4.107,"649,35 kWh",37.81,SIN_ORDEN
EVT-000399,2026-09-04T07:00:00-04:00,REACTOR-B,A,Diego Arce,75.50,3.929,664.65,43.11,SIN_ORDEN
EVT-000288,2026-09-01 23:30:00,REACTOR-B,C,Fernando López,73.09,3.727,643.61,40.39,SIN_ORDEN
EVT-000470,2026-09-05 18:30:00,REACTOR-B,B,Elena Quispe,68.91,3.921,598.74,32.48,SIN_ORDEN
EVT-000076,2026-09-02 13:30:00,REACTOR-A,A,Ana Rojas,67.43,2.969,631.44,37.22,SIN_ORDEN
EVT-000299,2026-09-02 05:00:00,REACTOR-B,C,Fernando López,77.57,4.046,667.25,42.82,PREVENTIVO
EVT-000243,2026-09-01 01:00:00,REACTOR-B,C,Fernando López,"72,46 °C",3.733,645.54,40.34,SIN_ORDEN
EVT-000209,2026-09-05 08:00:00,REACTOR-A,A,Ana Rojas,74.46,3.542,"667,65 kWh",40.99,SIN_ORDEN
EVT-000110,03/09/2026 06:30,REACTOR-A,A,Ana Rojas,73.88,3.688,666.29,43.69,SIN_ORDEN
EVT-000162,2026-09-04 08:30:00,REACTOR-A,A,Ana Rojas,89.8 °C,9.35 mm/s,880.0 kWh,40.35,SIN_ORDEN
EVT-000015,2026-09-01 07:00:00,REACTOR-A,A,Ana Rojas,73.68,"3,962 mm/s",702.61,43.16,SIN_ORDEN
EVT-000700,2026-09-05 13:30:00,REACTOR-C,A,Gabriela Flores,68.28,4.164,636.67,36.49,SIN_ORDEN
EVT-000361,2026-09-03 12:00:00,REACTOR-B,A,Diego Arce,-999,3.395,645.32,40.42,SIN_ORDEN
EVT-000521,2026-09-01 20:00:00,REACTOR-C,B,Hugo Vargas,65.84,4.363,619.35,35.54,SIN_ORDEN
EVT-000341,2026-09-03T02:00:00-04:00,REACTOR-B,C,Fernando López,73.59,3.517,,"40,47 t",SIN_ORDEN
EVT-000048,2026-09-01 23:30:00,REACTOR-A,C,Carla Méndez,68.52,2.561,"595,39 kWh",37.40,SIN_ORDEN
EVT-000568,2026-09-02 19:30:00,REACTOR-C,B,Hugo Vargas,65.30,3.976,597.91,33.90,PREVENTIVO
EVT-000558,2026-09-02 14:30:00,REACTOR-C,B,Hugo Vargas,65.95,"4,385 mm/s",604.52,35.03,SIN_ORDEN
EVT-000416,2026-09-04 15:30:00,REACTOR-B,B,Elena Quispe,"70,43 °C","4,309 mm/s",597.06,34.20,SIN_ORDEN
EVT-000149,2026-09-04 02:00:00,REACTOR-A,C,Carla Méndez,71.02,3.420,656.71,39.32,SIN_ORDEN
EVT-000520,2026-09-01 19:30:00,REACTOR-C,B,Hugo Vargas,64.02,4.347,607.50,35.58,SIN_ORDEN
EVT-000390,2026-09-04 02:30:00,REACTOR-B,C,Fernando López,73.34,3.641,655.35,43.55,SIN_ORDEN
EVT-000666,04/09/2026 20:30,REACTOR-C,B,Hugo Vargas,67.64,3.860,606.55,32.89,SIN_ORDEN
EVT-000462,2026-09-05 14:30:00,REACTOR-B,B,Elena Quispe,69.45,3.464,"638,99 kWh",38.28,SIN_ORDEN
EVT-000377,2026-09-03T20:00:00-04:00,REACTOR-B,B,Elena Quispe,69.84,3.623,628.38,39.28,SIN_ORDEN
EVT-000198,2026-09-05 02:30:00,REACTOR-A,C,Carla Méndez,"73,02 °C",3.552,644.16,40.50,SIN_ORDEN
EVT-000386,2026-09-04 00:30:00,REACTOR-B,C,Fernando López,72.29,3.809,628.96,39.25,PREVENTIVO
EVT-000086,2026-09-02 18:30:00,REACTOR-A,B,Bruno Salvatierra,65.63,"3,108 mm/s",616.62,36.99,SIN_ORDEN
EVT-000446,2026-09-05T06:30:00-04:00,REACTOR-B,A,Diego Arce,76.50,3.890,678.39,44.36,SIN_ORDEN
EVT-000363,03/09/2026 13:00,REACTOR-B,A,Diego Arce,70.85,3.291,631.50,40.35,SIN_ORDEN
EVT-000180,2026-09-04 17:30:00,REACTOR-A,B,Bruno Salvatierra,65.07,"3,451 mm/s",612.06,34.43,SIN_ORDEN
EVT-000229,2026-09-05 18:00:00,REACTOR-A,B,Bruno Salvatierra,65.45,3.394,623.52,37.21,SIN_ORDEN
EVT-000321,2026-09-02 16:00:00,REACTOR-B,B,Elena Quispe,69.34,4.093,"612,41 kWh",35.87,CORRECTIVO
EVT-000244,2026-09-01 01:30:00,REACTOR-B,C,Fernando López,72.54,3.691,661.36,44.53,SIN_ORDEN
EVT-000093,2026-09-02 22:00:00,REACTOR-A,C,Carla Méndez,67.96,3.605,628.82,"36,36 t",SIN_ORDEN
EVT-000111,2026-09-03 07:00:00,REACTOR-A,A,Ana Rojas,73.54,3.460,683.41,45.05,SIN_ORDEN
EVT-000173,2026-09-04 14:00:00,REACTOR-A,B,Bruno Salvatierra,65.25,3.369,629.12,NO_REGISTRADO,SIN_ORDEN
EVT-000179,2026-09-04 17:00:00,REACTOR-A,B,Bruno Salvatierra,67.18,3.244,611.82,35.96,SIN_ORDEN
EVT-000465,2026-09-05 16:00:00,REACTOR-B,B,Elena Quispe,68.87,"3,608 mm/s",645.90,38.34,SIN_ORDEN
EVT-000713,2026-09-05 20:00:00,REACTOR-C,B,Hugo Vargas,65.81,4.174,"624,59 kWh",35.69,CORRECTIVO
EVT-000204,2026-09-05 05:30:00,REACTOR-A,C,Carla Méndez,74.50,3.168,671.80,42.83,SIN_ORDEN
EVT-000633,2026-09-04 04:00:00,REACTOR-C,C,Irene Choque,70.34,3.796,655.16,41.20,SIN_ORDEN
EVT-000393,2026-09-04 04:00:00,REACTOR-B,C,Fernando López,74.09,"4,152 mm/s",703.73,45.82,SIN_ORDEN
EVT-000118,2026-09-03 10:30:00,REACTOR-A,A,Ana Rojas,71.83,3.615,667.53,41.39,SIN_ORDEN
EVT-000457,2026-09-05 12:00:00,REACTOR-B,A,Diego Arce,71.06,3.470,"664,16 kWh",43.73,SIN_ORDEN
EVT-000126,2026-09-03 14:30:00,REACTOR-A,B,Bruno Salvatierra,-999,2.691,650.08,37.85,SIN_ORDEN
EVT-000345,2026-09-03 04:00:00,REACTOR-B,C,Fernando López,73.59,3.844,669.19,41.96,SIN_ORDEN
EVT-000694,2026-09-05 10:30:00,REACTOR-C,A,Gabriela Flores,69.95,3.830,641.71,38.11,SIN_ORDEN
EVT-000327,2026-09-02 19:00:00,REACTOR-B,B,Elena Quispe,66.05,3.647,"616,34 kWh",37.56,SIN_ORDEN
EVT-000072,2026-09-02 11:30:00,REACTOR-A,A,Ana Rojas,69.64,2.685,637.25,39.78,SIN_ORDEN
EVT-000412,2026-09-04 13:30:00,REACTOR-B,A,Diego Arce,70.06,3.296,"660,04 kWh",41.58,SIN_ORDEN
EVT-000121,2026-09-03 12:00:00,REACTOR-A,A,Ana Rojas,"68,41 °C",3.279,654.31,39.75,SIN_ORDEN
EVT-000577,2026-09-03 00:00:00,REACTOR-C,C,Irene Choque,67.14,3.679,656.67,39.21,SIN_ORDEN
EVT-000113,2026-09-03 08:00:00,REACTOR-A,A,Ana Rojas,"74,87 °C",3.424,669.58,42.69,CORRECTIVO
EVT-000256,2026-09-01 07:30:00,REACTOR-B,A,Diego Arce,76.09,3.903,652.47,"42,05 t",SIN_ORDEN
EVT-000186,2026-09-04 20:30:00,REACTOR-A,B,Bruno Salvatierra,250 °C,3.309,612.90,33.79,SIN_ORDEN
EVT-000671,2026-09-04 23:00:00,REACTOR-C,C,Irene Choque,66.90,3.747,607.12,36.41,SIN_ORDEN
EVT-000588,2026-09-03 05:30:00,REACTOR-C,C,Irene Choque,73.43,4.193,670.65,40.15,SIN_ORDEN
EVT-000375,2026-09-03 19:00:00,REACTOR-B,B,Elena Quispe,67.42,3.880,591.27,37.68,SIN_ORDEN
EVT-000499,2026-09-01 09:00:00,REACTOR-C,A,Gabriela Flores,72.63,4.103,655.95,40.98,SIN_ORDEN
EVT-000413,2026-09-04 14:00:00,REACTOR-B,B,Elena Quispe,66.53,3.962,610.87,36.91,SIN_ORDEN
EVT-000575,2026-09-02 23:00:00,REACTOR-C,C,Irene Choque,70.03,3.967,638.11,"-8,0 t",SIN_ORDEN
EVT-000170,2026-09-04 12:30:00,REACTOR-A,A,Ana Rojas,68.40,3.111,612.37,36.04,SIN_ORDEN
EVT-000230,2026-09-05 18:30:00,REACTOR-A,B,Bruno Salvatierra,68.79,3.750,614.91,"33,48 t",SIN_ORDEN
EVT-000193,2026-09-05 00:00:00,REACTOR-A,C,Carla Méndez,70.08,2.823,626.52,39.09,SIN_ORDEN
EVT-000285,2026-09-01 22:00:00,REACTOR-B,C,Fernando López,71.63,"3,479 mm/s",633.41,38.06,SIN_ORDEN
EVT-000325,2026-09-02 18:00:00,REACTOR-B,B,Elena Quispe,65.71,3.630,631.31,36.18,SIN_ORDEN
EVT-000506,2026-09-01 12:30:00,REACTOR-C,A,Gabriela Flores,68.20,3.947,617.69,36.85,SIN_ORDEN
EVT-000503,2026-09-01 11:00:00,REACTOR-C,A,Gabriela Flores,66.78,3.667,665.85,41.61,SIN_ORDEN
EVT-000347,2026-09-03 05:00:00,REACTOR-B,C,Fernando López,75.86,3.835,683.27,46.56,SIN_ORDEN
EVT-000698,2026-09-05 12:30:00,REACTOR-C,A,Gabriela Flores,66.78,4.182,603.51,37.14,SIN_ORDEN
EVT-000401,2026-09-04 08:00:00,REACTOR-B,A,Diego Arce,91.6 °C,9.35 mm/s,832.0 kWh,42.64,SIN_ORDEN
EVT-000259,2026-09-01 09:00:00,REACTOR-B,A,Diego Arce,-999,3.557,690.33,43.16,SIN_ORDEN
EVT-000510,2026-09-01 14:30:00,REACTOR-C,B,Hugo Vargas,67.28,4.131,622.01,34.97,SIN_ORDEN
EVT-000380,2026-09-03 21:30:00,REACTOR-B,B,Elena Quispe,69.26,3.772,"617,96 kWh",37.77,SIN_ORDEN
EVT-000528,2026-09-01 23:30:00,REACTOR-C,C,Irene Choque,67.40,3.442,623.48,37.40,SIN_ORDEN
EVT-000708,2026-09-05 17:30:00,REACTOR-C,B,Hugo Vargas,"64,40 °C",4.269,592.54,"36,33 t",SIN_ORDEN
EVT-000549,2026-09-02 10:00:00,REACTOR-C,A,Gabriela Flores,67.88,3.843,641.34,41.41,SIN_ORDEN
EVT-000340,2026-09-03 01:30:00,REACTOR-B,C,Fernando López,70.44,3.555,678.13,42.29,SIN_ORDEN
EVT-000114,03/09/2026 08:30,REACTOR-A,A,Ana Rojas,73.93,3.428,696.93,41.67,SIN_ORDEN
EVT-000270,2026-09-01 14:30:00,REACTOR-B,B,Elena Quispe,67.83,4.430,632.73,37.85,SIN_ORDEN
EVT-000492,2026-09-01 05:30:00,REACTOR-C,C,Irene Choque,72.26,4.409,640.93,40.23,SIN_ORDEN
EVT-000027,2026-09-01 13:00:00,REACTOR-A,A,Ana Rojas,69.26,3.203,"635,45 kWh","37,43 t",SIN_ORDEN
EVT-000514,2026-09-01 16:30:00,REACTOR-C,B,Hugo Vargas,64.82,"3,986 mm/s",592.37,32.90,SIN_ORDEN
EVT-000142,2026-09-03 22:30:00,REACTOR-A,C,Carla Méndez,68.47,3.381,625.29,35.71,SIN_ORDEN
EVT-000302,2026-09-02 06:30:00,REACTOR-B,A,Diego Arce,76.57,4.315,651.04,41.11,SIN_ORDEN
EVT-000704,2026-09-05 15:30:00,REACTOR-C,B,Hugo Vargas,63.83,4.052,631.25,36.88,SIN_ORDEN
EVT-000152,2026-09-04 03:30:00,REACTOR-A,C,Carla Méndez,74.03,3.618,652.13,"38,69 t",SIN_ORDEN
EVT-000071,2026-09-02 11:00:00,REACTOR-A,A,Ana Rojas,72.49,3.272,637.02,37.15,SIN_ORDEN
EVT-000650,2026-09-04 12:30:00,REACTOR-C,A,Gabriela Flores,65.73,3.978,642.71,37.42,SIN_ORDEN
EVT-000556,02/09/2026 13:30,REACTOR-C,A,Gabriela Flores,65.76,3.903,626.24,37.26,SIN_ORDEN
EVT-000025,2026-09-01 12:00:00,REACTOR-A,A,Ana Rojas,"69,37 °C",2.838,668.64,39.47,SIN_ORDEN
EVT-000703,2026-09-05 15:00:00,REACTOR-C,B,Hugo Vargas,65.49,4.028,598.85,33.26,SIN_ORDEN
EVT-000720,2026-09-05 23:30:00,REACTOR-C,C,Irene Choque,67.94,3.791,635.93,39.61,SIN_ORDEN
EVT-000297,2026-09-02 04:00:00,REACTOR-B,C,Fernando López,75.52,3.299,665.84,41.15,SIN_ORDEN
EVT-000448,2026-09-05 07:30:00,REACTOR-B,A,Diego Arce,74.33,4.340,659.01,41.53,SIN_ORDEN
EVT-000157,2026-09-04 06:00:00,REACTOR-A,A,Ana Rojas,74.03,3.296,668.02,42.33,SIN_ORDEN
EVT-000589,03/09/2026 06:00,REACTOR-C,A,Gabriela Flores,71.67,3.849,676.52,42.47,SIN_ORDEN
EVT-000145,2026-09-04 00:00:00,REACTOR-A,C,Carla Méndez,70.13,2.879,642.02,41.92,SIN_ORDEN
EVT-000298,2026-09-02 04:30:00,REACTOR-B,C,Fernando López,75.34,4.003,"664,46 kWh",40.92,SIN_ORDEN
EVT-000151,2026-09-04 03:00:00,REACTOR-A,C,Carla Méndez,71.71,3.490,635.98,41.04,SIN_ORDEN
EVT-000201,2026-09-05 04:00:00,REACTOR-A,C,Carla Méndez,73.45,3.217,651.31,"41,78 t",SIN_ORDEN
EVT-000398,2026-09-04 06:30:00,REACTOR-B,A,Diego Arce,"74,39 °C","4,148 mm/s",691.87,45.33,SIN_ORDEN
EVT-000154,,REACTOR-A,C,Carla Méndez,"72,98 °C",3.292,652.75,41.76,SIN_ORDEN
EVT-000314,2026-09-02 12:30:00,REACTOR-B,A,Diego Arce,71.93,3.388,662.67,42.89,SIN_ORDEN
EVT-000153,2026-09-04T04:00:00-04:00,REACTOR-A,C,Carla Méndez,74.97,3.839,611.18,36.98,SIN_ORDEN
EVT-000400,31/02/2026 07:30,REACTOR-B,A,Diego Arce,74.88,"4,260 mm/s",683.29,43.47,SIN_ORDEN
EVT-000502,2026-09-01 10:30:00,REACTOR-C,A,Gabriela Flores,69.82,3.826,631.25,39.25,SIN_ORDEN
EVT-000030,2026-09-01 14:30:00,REACTOR-A,B,Bruno Salvatierra,68.55,2.909,637.51,"35,75 t",SIN_ORDEN
EVT-000516,2026-09-01 17:30:00,REACTOR-C,B,Hugo Vargas,66.21,4.295,583.43,34.14,SIN_ORDEN
EVT-000222,2026-09-05 14:30:00,REACTOR-A,B,Bruno Salvatierra,"67,45 °C",3.356,630.80,37.58,SIN_ORDEN
EVT-000331,2026-09-02 21:00:00,REACTOR-B,B,Elena Quispe,89.8 °C,8.45 mm/s,832.0 kWh,39.40,SIN_ORDEN
EVT-000443,2026-09-05 05:00:00,REACTOR-B,C,Fernando López,"75,40 °C",4.171,689.96,44.73,SIN_ORDEN
EVT-000512,2026-09-01T15:30:00-04:00,REACTOR-C,B,Hugo Vargas,65.33,3.893,602.44,33.92,SIN_ORDEN
EVT-000264,2026-09-01 11:30:00,REACTOR-B,A,Diego Arce,"73,29 °C",3.018,635.94,41.66,SIN_ORDEN
EVT-000392,2026-09-04 03:30:00,REACTOR-B,C,Fernando López,"73,18 °C",3.368,"667,04 kWh",43.27,SIN_ORDEN
EVT-000232,2026-09-05 19:30:00,REACTOR-A,B,Bruno Salvatierra,66.69,3.333,"618,75 kWh",36.00,SIN_ORDEN
EVT-000432,2026-09-04 23:30:00,REACTOR-B,C,Fernando López,71.72,3.238,647.24,40.15,SIN_ORDEN
EVT-000158,2026-09-04 06:30:00,REACTOR-A,A,Ana Rojas,74.74,3.798,660.24,42.08,SIN_ORDEN
EVT-000596,2026-09-03 09:30:00,REACTOR-C,A,Gabriela Flores,"72,25 °C",3.857,647.43,40.68,SIN_ORDEN
EVT-000710,2026-09-05 18:30:00,REACTOR-C,B,Hugo Vargas,62.95,3.842,586.02,31.82,SIN_ORDEN
EVT-000526,2026-09-01 22:30:00,REACTOR-C,C,Irene Choque,"66,22 °C",3.478,632.09,35.57,SIN_ORDEN
EVT-000434,2026-09-05 00:30:00,REACTOR-B,C,Fernando López,73.31,4.013,647.85,41.12,SIN_ORDEN
EVT-000545,2026-09-02 08:00:00,REACTOR-C,A,Gabriela Flores,73.24,4.242,646.66,42.83,SIN_ORDEN
EVT-000146,2026-09-04 00:30:00,REACTOR-A,C,Carla Méndez,-999,3.201,634.88,39.77,PREVENTIVO
EVT-000500,2026-09-01 09:30:00,REACTOR-C,A,Gabriela Flores,71.91,4.262,646.54,"39,53 t",SIN_ORDEN
EVT-000303,2026-09-02 07:00:00,REACTOR-B,A,Diego Arce,76.64,"3,976 mm/s",669.08,43.98,SIN_ORDEN
EVT-000472,2026-09-05 19:30:00,REACTOR-B,B,Elena Quispe,68.72,"3,747 mm/s",624.56,37.63,SIN_ORDEN
EVT-000249,2026-09-01 04:00:00,REACTOR-B,C,Fernando López,75.49,3.911,678.26,"44,83 t",SIN_ORDEN
EVT-000165,2026-09-04 10:00:00,REACTOR-A,A,Ana Rojas,"72,10 °C",3.095,658.97,41.37,SIN_ORDEN
EVT-000233,2026-09-05 20:00:00,REACTOR-A,B,Bruno Salvatierra,65.80,3.476,609.86,35.17,SIN_ORDEN
EVT-000174,2026-09-04T14:30:00-04:00,REACTOR-A,B,Bruno Salvatierra,66.11,3.374,599.84,34.64,SIN_ORDEN
EVT-000436,2026-09-05 01:30:00,REACTOR-B,C,Fernando López,74.54,3.301,666.58,41.94,SIN_ORDEN
EVT-000631,2026-09-04 03:00:00,REACTOR-C,C,Irene Choque,"71,56 °C",3.887,649.54,"39,96 t",SIN_ORDEN
EVT-000365,2026-09-03 14:00:00,REACTOR-B,B,Elena Quispe,69.56,4.000,646.26,37.80,SIN_ORDEN
EVT-000354,03/09/2026 08:30,REACTOR-B,A,Diego Arce,75.21,3.793,661.15,43.20,SIN_ORDEN
EVT-000254,2026-09-01 06:30:00,REACTOR-B,A,Diego Arce,78.43,3.656,683.16,45.08,SIN_ORDEN
EVT-000449,2026-09-05 08:00:00,REACTOR-B,A,Diego Arce,74.59,3.658,649.12,41.34,SIN_ORDEN
EVT-000490,2026-09-01T04:30:00-04:00,REACTOR-C,C,Irene Choque,73.64,"4,341 mm/s",677.59,40.82,SIN_ORDEN
EVT-000645,2026-09-04 10:00:00,REACTOR-C,A,Gabriela Flores,70.69,"3,645 mm/s",647.51,42.87,SIN_ORDEN
EVT-000642,2026-09-04 08:30:00,REACTOR-C,A,Gabriela Flores,70.47,4.154,"666,97 kWh",42.14,SIN_ORDEN
EVT-000681,2026-09-05 04:00:00,REACTOR-C,C,Irene Choque,71.24,"3,840 mm/s",667.75,41.30,SIN_ORDEN
EVT-000429,04/09/2026 22:00,REACTOR-B,C,Fernando López,71.91,"3,881 mm/s","653,44 kWh",39.71,SIN_ORDEN
EVT-000467,2026-09-05 17:00:00,REACTOR-B,B,Elena Quispe,67.82,3.842,636.63,38.41,SIN_ORDEN
EVT-000250,2026-09-01 04:30:00,REACTOR-B,C,Fernando López,75.89,4.013,672.88,42.79,SIN_ORDEN
EVT-000441,2026-09-05 04:00:00,REACTOR-B,C,Fernando López,76.20,3.578,"693,50 kWh",NO_REGISTRADO,SIN_ORDEN
EVT-000571,2026-09-02 21:00:00,REACTOR-C,B,Hugo Vargas,65.45,4.003,602.73,35.22,SIN_ORDEN
EVT-000207,2026-09-05 07:00:00,REACTOR-A,A,Ana Rojas,73.53,3.096,660.00,40.89,SIN_ORDEN
EVT-000115,2026-09-03 09:00:00,REACTOR-A,A,Ana Rojas,71.17,3.622,657.22,41.59,SIN_ORDEN
EVT-000473,2026-09-05 20:00:00,REACTOR-B,B,Elena Quispe,68.03,3.482,635.04,36.08,SIN_ORDEN
EVT-000311,2026-09-02 11:00:00,REACTOR-B,A,Diego Arce,76.41,3.329,659.59,40.52,SIN_ORDEN
EVT-000501,2026-09-01 10:00:00,REACTOR-C,A,Gabriela Flores,68.17,4.158,639.51,42.10,SIN_ORDEN
EVT-000294,2026-09-02 02:30:00,REACTOR-B,C,Fernando López,74.12,3.994,673.89,43.97,SIN_ORDEN
EVT-000199,2026-09-05 03:00:00,REACTOR-A,C,Carla Méndez,71.80,3.237,"663,28 kWh",NO_REGISTRADO,SIN_ORDEN
EVT-000717,2026-09-05 22:00:00,REACTOR-C,C,Irene Choque,63.55,3.850,618.08,38.08,SIN_ORDEN
EVT-000144,03/09/2026 23:30,REACTOR-A,C,Carla Méndez,72.38,"2,744 mm/s",637.79,37.26,SIN_ORDEN
EVT-000320,2026-09-02 15:30:00,REACTOR-B,B,Elena Quispe,,3.835,628.47,40.04,SIN_ORDEN
EVT-000656,2026-09-04 15:30:00,REACTOR-C,B,Hugo Vargas,66.67,4.215,613.98,36.35,SIN_ORDEN
EVT-000272,2026-09-01 15:30:00,REACTOR-B,B,Elena Quispe,69.47,3.676,596.88,34.44,SIN_ORDEN
EVT-000289,2026-09-02 00:00:00,REACTOR-B,C,Fernando López,73.35,"3,422 mm/s","659,13 kWh",39.53,SIN_ORDEN
EVT-000178,2026-09-04 16:30:00,REACTOR-A,B,Bruno Salvatierra,65.80,3.710,607.38,34.49,SIN_ORDEN
EVT-000486,2026-09-01 02:30:00,REACTOR-C,C,Irene Choque,72.20,"4,134 mm/s",620.51,39.99,PREVENTIVO
EVT-000600,2026-09-03 11:30:00,REACTOR-C,A,Gabriela Flores,67.22,3.473,626.95,"36,51 t",SIN_ORDEN
EVT-000261,2026-09-01 10:00:00,REACTOR-B,A,Diego Arce,72.02,3.330,664.52,43.55,SIN_ORDEN
EVT-000601,2026-09-03 12:00:00,REACTOR-C,A,Gabriela Flores,70.42,3.844,649.51,40.47,SIN_ORDEN
EVT-000329,2026-09-02 20:00:00,REACTOR-B,B,Elena Quispe,70.24,3.781,638.18,37.95,SIN_ORDEN
EVT-000074,2026-09-02 12:30:00,REACTOR-A,A,Ana Rojas,68.85,3.127,656.75,41.15,SIN_ORDEN
EVT-000036,01/09/2026 17:30,REACTOR-A,B,Bruno Salvatierra,67.56,3.315,604.14,34.13,SIN_ORDEN
EVT-000195,2026-09-05 01:00:00,REACTOR-A,C,Carla Méndez,71.94,"2,819 mm/s",659.59,40.68,SIN_ORDEN
EVT-000106,2026-09-03 04:30:00,REACTOR-A,C,Carla Méndez,73.05,3.635,637.52,38.67,SIN_ORDEN
EVT-000068,2026-09-02 09:30:00,REACTOR-A,A,Ana Rojas,73.84,S/D,645.05,41.99,SIN_ORDEN
EVT-000711,2026-09-05 19:00:00,REACTOR-C,B,Hugo Vargas,64.37,4.114,585.31,33.94,SIN_ORDEN
EVT-000095,2026-09-02 23:00:00,REACTOR-A,C,Carla Méndez,"68,72 °C",3.049,655.00,39.15,SIN_ORDEN
EVT-000214,2026-09-05 10:30:00,REACTOR-A,A,Ana Rojas,71.17,3.092,646.55,41.91,SIN_ORDEN
EVT-000635,2026-09-04 05:00:00,REACTOR-C,C,Irene Choque,"73,82 °C",3.994,686.29,NO_REGISTRADO,SIN_ORDEN
EVT-000411,2026-09-04 13:00:00,REACTOR-B,A,Diego Arce,72.13,"3,395 mm/s",653.80,39.99,SIN_ORDEN
EVT-000189,04/09/2026 22:00,REACTOR-A,C,Carla Méndez,68.71,3.176,619.90,"36,86 t",SIN_ORDEN
EVT-000395,2026-09-04 05:00:00,REACTOR-B,C,Fernando López,76.16,3.845,653.43,42.72,SIN_ORDEN
EVT-000369,2026-09-03 16:00:00,REACTOR-B,B,Elena Quispe,71.22,"3,307 mm/s","627,13 kWh","37,77 t",SIN_ORDEN
EVT-000192,2026-09-04 23:30:00,REACTOR-A,C,Carla Méndez,"69,11 °C",2.978,643.74,41.16,SIN_ORDEN
EVT-000594,2026-09-03 08:30:00,REACTOR-C,A,Gabriela Flores,72.48,4.136,"651,51 kWh",39.97,SIN_ORDEN
EVT-000138,2026-09-03 20:30:00,REACTOR-A,B,Bruno Salvatierra,65.50,3.778,610.96,35.52,SIN_ORDEN
EVT-000560,2026-09-02 15:30:00,REACTOR-C,B,Hugo Vargas,"65,97 °C","4,021 mm/s",620.38,33.96,SIN_ORDEN
EVT-000617,2026-09-03 20:00:00,REACTOR-C,B,Hugo Vargas,64.53,3.890,597.21,33.54,PREVENTIVO
EVT-000218,2026-09-05 12:30:00,REACTOR-A,A,Ana Rojas,69.95,3.195,"636,30 kWh",37.50,SIN_ORDEN
EVT-000524,2026-09-01 21:30:00,REACTOR-C,B,Hugo Vargas,"67,13 °C",3.562,605.14,34.13,SIN_ORDEN
EVT-000557,2026-09-02 14:00:00,REACTOR-C,B,Hugo Vargas,65.75,4.149,"639,47 kWh",39.69,SIN_ORDEN
EVT-000284,2026-09-01 21:30:00,REACTOR-B,B,Elena Quispe,69.42,3.325,627.74,38.13,SIN_ORDEN
EVT-000592,2026-09-03 07:30:00,REACTOR-C,A,Gabriela Flores,71.70,3.851,"666,76 kWh",44.10,SIN_ORDEN
EVT-000252,2026-09-01 05:30:00,REACTOR-B,C,Fernando López,76.47,3.969,658.82,45.10,SIN_ORDEN
EVT-000282,2026-09-01 20:30:00,REACTOR-B,B,Elena Quispe,68.98,"3,744 mm/s",651.05,"40,41 t",SIN_ORDEN
EVT-000573,2026-09-02T22:00:00-04:00,REACTOR-C,C,Irene Choque,66.67,3.934,646.61,36.43,SIN_ORDEN
EVT-000452,2026-09-05 09:30:00,REACTOR-B,A,Diego Arce,75.19,3.234,674.22,45.01,SIN_ORDEN
EVT-000042,2026-09-01 20:30:00,REACTOR-A,B,Bruno Salvatierra,66.79,3.246,602.30,33.18,SIN_ORDEN
EVT-000171,2026-09-04 13:00:00,REACTOR-A,A,Ana Rojas,"67,96 °C",3.530,624.66,38.96,SIN_ORDEN
EVT-000494,2026-09-01 06:30:00,REACTOR-C,A,Gabriela Flores,70.46,3.814,626.60,39.83,SIN_ORDEN
EVT-000458,05/09/2026 12:30,REACTOR-B,A,Diego Arce,72.80,3.553,657.54,40.99,SIN_ORDEN
EVT-000405,2026-09-04 10:00:00,REACTOR-B,A,Diego Arce,73.44,3.302,666.52,43.99,SIN_ORDEN
